,תאריך הדיווח,31/03/2016,,,,,,
,TZP Capital II," 	1,462.13 ",Jul-23,,,,,
,Waterton Precious Metals II," 	2,316.01 ",Oct-20,,,,,
,Energy Capital Partners III," 	5,472.40 ",Feb-25,,,,,
,SSG Capital III," 	2,621.21 ",Feb-21,,,,,
,Insight Equity III," 	3,113.02 ",Dec-23,,,,,
,Gavea Investment V," 	3,361.16 ",Apr-24,,,,,
,Roark IV," 	4,142.60 ",Sep-24,,,,,
,American Securities Opportunities III, 	802.68 ,Jul-21,,,,,
,American Securities VII," 	14,122.50 ",Dec-24,,,,,
,Blackstone Energy II," 	9,415.00 ",Oct-25,,,,,
,Creador II, 	158.17 ,Oct-24,,,,,
,Hahn & Co. II," 	3,288.73 ",Nov-24,,,,,
,ICG VI," 	13,575.41 ",Mar-25,,,,,
,Waterland PE Fund VI," 	5,740.85 ",Apr-25,,,,,
,Blackstone VII," 	40,672.80 ",Apr-26,,,,,
,Elysian Capital II," 	4,949.71 ",Jul-25,,,,,
,Gridiron Capital III," 	6,860.87 ",Jul-25,,,,,
,ZM Capital II," 	7,453.58 ",Jul-25,,,,,
,IDG China Capital Fund III," 	4,406.22 ",Jul-25,,,,,
,American Industrial Partners   VI," 	5,520.16 ",Sep-25,,,,,
,Coller International VI," 	27,424.60 ",Jun-25,,,,,
,Castlelake IV," 	5,720.58 ",Jul-21,,,,,
,Saw Mill Capital Partners II," 	7,061.25 ",Sep-25,,,,,
,Harvest Parnters VII," 	13,557.60 ",Dec-25,,,,,
,Gamut Investment Fund I," 	8,473.50 ",Jan-26,,,,,
,Advent International VIII," 	18,076.80 ",Feb-26,,,,,
,H2 equity Partners V," 	7,597.66 ",Mar-26,,,,,
,Blackstone RE VII," 	3,372.97 ",Aug-22,,,,,
,"סה""כ בחו""ל","567,483.09",,,,,,
