,תאריך הדיווח,31/03/2016,,,,,,
,TPG Opportunty II ," 	16,723.30 ",Nov-18,,,,,
,Platinum Equity III," 	22,163.06 ",Dec-21,,,,,
,BC European Partners IX," 	10,220.35 ",Feb-22,,,,,
,Gores Small Cap," 	21,433.89 ",Aug-20,,,,,
,Kohlberg IV Secondary, 	502.43 ,Dec-14,,,,,
,Kohlberg V Secondary," 	1,024.37 ",Dec-14,,,,,
,Kohlberg VI Secondary," 	2,603.21 ",Jun-17,,,,,
,Secondary SPV-2, 	936.60 ,Jan-24,,,,,
,Baring Vostok V," 	18,105.06 ",May-22,,,,,
,Coller International VI," 	26,530.16 ",May-22,,,,,
,Gridiron Capital II," 	3,114.79 ",Jun-22,,,,,
,Ethos PE VI," 	17,156.59 ",Sep-22,,,,,
,SSG Capital II," 	1,068.57 ",Oct-20,,,,,
,Partner Group II," 	233,222.35 ",Nov-20,,,,,
,Ridgemont Equity I," 	3,841.43 ",Dec-24,,,,,
,Advent International VII," 	9,714.40 ",Sep-24,,,,,
,High Road Capital II," 	38,008.80 ",Mar-23,,,,,
,Secondary Investment SPV-4," 	2,052.18 ",Feb-17,,,,,
,Levine Leichtman V," 	15,508.00 ",Jun-23,,,,,
,NG Capital II," 	15,889.51 ",Jan-23,,,,,
,HL International Feeder H-Aion," 	23,634.78 ",Jun-23,,,,,
,HL International Feeder H1-A," 	25,681.20 ",Jun-23,,,,,
,HL International Feeder H1-B," 	90,898.28 ",Jun-23,,,,,
,HL International Feeder H2-Secondary," 	17,206.48 ",Jun-23,,,,,
,CDH Fund V," 	17,756.94 ",Feb-23,,,,,
,Apollo VIII," 	70,922.99 ",Nov-23,,,,,
,TZP Capital II," 	22,494.33 ",Jul-23,,,,,
,Waterton Precious Metals II," 	32,462.42 ",Oct-20,,,,,
,Energy Capital Partners III," 	71,141.19 ",Feb-25,,,,,
,KPS SS IV," 	53,331.29 ",Apr-23,,,,,
,SSG Capital III," 	32,453.13 ",Feb-21,,,,,
,Insight Equity III," 	38,542.27 ",Dec-23,,,,,
,Gavea Investment V," 	41,614.30 ",Apr-24,,,,,
,Roark IV," 	51,405.90 ",Sep-24,,,,,
,American Securities Opportunities III," 	12,348.82 ",Jul-21,,,,,
,American Securities VII," 	183,592.50 ",Dec-24,,,,,
,Blackstone Energy II," 	122,395.00 ",Oct-25,,,,,
,Creador II," 	1,958.32 ",Oct-24,,,,,
,Hahn & Co. II," 	40,717.86 ",Nov-24,,,,,
,ICG VI," 	105,209.42 ",Mar-25,,,,,
,Waterland PE Fund VI," 	31,574.66 ",Apr-25,,,,,
,Blackstone VII," 	160,431.60 ",Apr-26,,,,,
,Elysian Capital II," 	23,115.42 ",Jul-25,,,,,
,Gridiron Capital III," 	32,017.39 ",Jul-25,,,,,
,ZM Capital II," 	34,783.37 ",Jul-25,,,,,
,IDG China Capital Fund III," 	20,562.36 ",Jul-25,,,,,
,American Industrial Partners   VI," 	25,760.76 ",Sep-25,,,,,
,Coller International VI," 	127,981.45 ",Jun-25,,,,,
,Castlelake IV," 	26,696.02 ",Jul-21,,,,,
,Saw Mill Capital Partners II," 	32,952.50 ",Sep-25,,,,,
,Harvest Parnters VII," 	53,477.20 ",Dec-25,,,,,
,Gamut Investment Fund I," 	39,543.00 ",Jan-26,,,,,
,Advent International VIII," 	73,437.00 ",Feb-26,,,,,
,H2 equity Partners V," 	34,189.47 ",Mar-26,,,,,
,Blackstone RE VII," 	10,118.93 ",Aug-22,,,,,
,CIM Fund VIII," 	29,798.67 ",Oct-22,,,,,
,Blackstone RE VIII," 	87,967.93 ",Mar-25,,,,,
,BROOKFIELD  RE  II," 	141,225.00 ",Feb-26,,,,,
,"סה""כ בחו""ל","2,862,990.23",,,,,,
