managing_body,fund,fund_name,report_year,report_qurater,instrument_type,instrument_sub_type,instrument_id,orig_instrument_id,instrument_name,issuer,activity_industry,currency,fair_value,market_cap,rate_of_fund,rating_agency,reference_index,intrest_rate,date_of_purchase,average_of_duration,date_of_revaluation,rate,yield,rating,par_value,tmp_name,underlying_asset,type_of_asset,rate_of_ipo,liquidity,asset_type
clal,99085,"כלל-חסכון בטוחה תיק מנוהל אג""ח 2",2013,3,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,558620.14,0,0.001082627,מעלות,null,0.0429,null,2.33,null,130.35,0.0059,A+,428554,null,null,null,0.000503222,סחיר,"אג""ח קונצרני"
clal,99085,"כלל-חסכון בטוחה תיק מנוהל אג""ח 2",2013,4,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,663533.11,0,0.001234492,מעלות,null,0.0429,null,2.09,null,131.77,0.0008,A+,503554,null,null,null,0.000591289,סחיר,"אג""ח קונצרני"
clal,99085,"כלל-חסכון בטוחה תיק מנוהל אג""ח 2",2014,1,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,1748874.36,0,0.003039023,מעלות,null,0.0429,null,1.91,null,127.01,-0.0036,A+,1376958,null,null,null,0.001616867,סחיר,"אג""ח קונצרני"
clal,99085,"כלל-חסכון בטוחה תיק מנוהל אג""ח 2",2014,2,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,1734829.38,0,0.002901625,מעלות,null,0.0429,null,1.66,null,125.99,0.0036,A+,1376958,null,null,null,0.001616867,סחיר,"אג""ח קונצרני"
clal,99085,"כלל-חסכון בטוחה תיק מנוהל אג""ח 2",2014,3,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,1732350.86,0,0.002807334,מעלות,null,0.0429,null,1.41,null,125.81,0.0074,A+,1376958,null,null,null,0.001616867,סחיר,"אג""ח קונצרני"
clal,99085,"כלל-חסכון בטוחה תיק מנוהל אג""ח 2",2014,4,ניירות ערך סחירים,"אג""ח קונצרני",7480098,IL0074800983,דיסק מנ שה נד 1,דיסקונט,בנקים,NIS,901893.08,0,0.149456204,מעלות,null,6.4,null,4.6,null,145.3,1.15,A,620711,null,null,null,0.049578328,סחיר,"אג""ח קונצרני"
clal,99086,"כלל-חסכון בטוחה תיק מנוהל אג""ח 3",2012,4,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,174303.53,0,0.000949883,מעלות,null,0.0429,null,2.97,null,130.63,0.0098,A+,133433,null,null,null,0.000156681,סחיר,"אג""ח קונצרני"
clal,99086,"כלל-חסכון בטוחה תיק מנוהל אג""ח 3",2013,1,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,170313.88,0,0.000844334,מעלות,null,0.0429,null,2.84,null,127.64,0.0053,A+,133433,null,null,null,0.000156681,סחיר,"אג""ח קונצרני"
clal,99086,"כלל-חסכון בטוחה תיק מנוהל אג""ח 3",2013,2,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,171701.58,0,0.000809149,מעלות,null,0.0429,null,2.58,null,128.68,0.0054,A+,133433,null,null,null,0.000156681,סחיר,"אג""ח קונצרני"
clal,99086,"כלל-חסכון בטוחה תיק מנוהל אג""ח 3",2013,3,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,212179.82,0,0.000936503,מעלות,null,0.0429,null,2.33,null,130.35,0.0059,A+,162777,null,null,null,0.000191138,סחיר,"אג""ח קונצרני"
clal,99086,"כלל-חסכון בטוחה תיק מנוהל אג""ח 3",2013,4,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,214491.25,0,0.000871881,מעלות,null,0.0429,null,2.09,null,131.77,0.0008,A+,162777,null,null,null,0.000191138,סחיר,"אג""ח קונצרני"
clal,99086,"כלל-חסכון בטוחה תיק מנוהל אג""ח 3",2014,1,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,526343.41,0,0.001973445,מעלות,null,0.0429,null,1.91,null,127.01,-0.0036,A+,414411,null,null,null,0.000486614,סחיר,"אג""ח קונצרני"
clal,99086,"כלל-חסכון בטוחה תיק מנוהל אג""ח 3",2014,2,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,522116.42,0,0.001862742,מעלות,null,0.0429,null,1.66,null,125.99,0.0036,A+,414411,null,null,null,0.000486614,סחיר,"אג""ח קונצרני"
clal,99086,"כלל-חסכון בטוחה תיק מנוהל אג""ח 3",2014,3,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,521370.48,0,0.001792783,מעלות,null,0.0429,null,1.41,null,125.81,0.0074,A+,414411,null,null,null,0.000486614,סחיר,"אג""ח קונצרני"
clal,99086,"כלל-חסכון בטוחה תיק מנוהל אג""ח 3",2014,4,ניירות ערך סחירים,"אג""ח קונצרני",7480098,IL0074800983,דיסק מנ שה נד 1,דיסקונט,בנקים,NIS,332678.88,0,0.118178692,מעלות,null,6.4,null,4.6,null,145.3,1.15,A,228960,null,null,null,0.018287825,סחיר,"אג""ח קונצרני"
clal,99087,"כלל-חסכון בטוחה תיק מנוהל אג""ח 5",2015,2,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,50279.34,0,0.058921926,מעלות,null,4.29,null,1.18,null,123.5,0.17,AA-,40712.02,null,null,null,0.007170795,סחיר,"אג""ח קונצרני"
clal,99087,"כלל-חסכון בטוחה תיק מנוהל אג""ח 5",2012,4,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,22619.89,0,0.000413678,מעלות,null,0.0429,null,2.97,null,130.63,0.0098,A+,17316,null,null,null,2.0333E-05,סחיר,"אג""ח קונצרני"
clal,99087,"כלל-חסכון בטוחה תיק מנוהל אג""ח 5",2013,1,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,22102.14,0,0.000385801,מעלות,null,0.0429,null,2.84,null,127.64,0.0053,A+,17316,null,null,null,2.0333E-05,סחיר,"אג""ח קונצרני"
clal,99087,"כלל-חסכון בטוחה תיק מנוהל אג""ח 5",2013,2,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,22282.23,0,0.00035752,מעלות,null,0.0429,null,2.58,null,128.68,0.0054,A+,17316,null,null,null,2.0333E-05,סחיר,"אג""ח קונצרני"
clal,99087,"כלל-חסכון בטוחה תיק מנוהל אג""ח 5",2013,3,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,33798.45,0,0.000507725,מעלות,null,0.0429,null,2.33,null,130.35,0.0059,A+,25929,null,null,null,3.04466E-05,סחיר,"אג""ח קונצרני"
clal,99087,"כלל-חסכון בטוחה תיק מנוהל אג""ח 5",2013,4,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,34166.64,0,0.000481977,מעלות,null,0.0429,null,2.09,null,131.77,0.0008,A+,25929,null,null,null,3.04466E-05,סחיר,"אג""ח קונצרני"
clal,99087,"כלל-חסכון בטוחה תיק מנוהל אג""ח 5",2014,1,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,77562.47,0,0.000986611,מעלות,null,0.0429,null,1.91,null,127.01,-0.0036,A+,61068,null,null,null,7.1708E-05,סחיר,"אג""ח קונצרני"
clal,99087,"כלל-חסכון בטוחה תיק מנוהל אג""ח 5",2014,2,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,76939.57,0,0.000915324,מעלות,null,0.0429,null,1.66,null,125.99,0.0036,A+,61068,null,null,null,7.1708E-05,סחיר,"אג""ח קונצרני"
clal,99087,"כלל-חסכון בטוחה תיק מנוהל אג""ח 5",2014,3,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,76829.65,0,0.000883502,מעלות,null,0.0429,null,1.41,null,125.81,0.0074,A+,61068,null,null,null,7.1708E-05,סחיר,"אג""ח קונצרני"
clal,99087,"כלל-חסכון בטוחה תיק מנוהל אג""ח 5",2014,4,ניירות ערך סחירים,"אג""ח קונצרני",7480098,IL0074800983,דיסק מנ שה נד 1,דיסקונט,בנקים,NIS,69186.05,0,0.08184254,מעלות,null,6.4,null,4.6,null,145.3,1.15,A,47616,null,null,null,0.003803254,סחיר,"אג""ח קונצרני"
clal,99081,כלל-חסכון בטוחה תיק מנוהל-מדדי,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,158780.77,0,0.001365669,מעלות,null,0.0429,null,2.97,null,130.63,0.0098,A+,121550,null,null,null,0.000142728,סחיר,"אג""ח קונצרני"
clal,99081,כלל-חסכון בטוחה תיק מנוהל-מדדי,2013,1,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,155146.42,0,0.001266446,מעלות,null,0.0429,null,2.84,null,127.64,0.0053,A+,121550,null,null,null,0.000142728,סחיר,"אג""ח קונצרני"
clal,99081,כלל-חסכון בטוחה תיק מנוהל-מדדי,2013,2,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,156410.54,0,0.001259767,מעלות,null,0.0429,null,2.58,null,128.68,0.0054,A+,121550,null,null,null,0.000142728,סחיר,"אג""ח קונצרני"
clal,99081,כלל-חסכון בטוחה תיק מנוהל-מדדי,2013,3,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,180103.29,0,0.001456733,מעלות,null,0.0429,null,2.33,null,130.35,0.0059,A+,138169,null,null,null,0.000162242,סחיר,"אג""ח קונצרני"
clal,99081,כלל-חסכון בטוחה תיק מנוהל-מדדי,2013,4,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,182065.29,0,0.001450514,מעלות,null,0.0429,null,2.09,null,131.77,0.0008,A+,138169,null,null,null,0.000162242,סחיר,"אג""ח קונצרני"
clal,99081,כלל-חסכון בטוחה תיק מנוהל-מדדי,2014,1,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,660575.2,0,0.005393377,מעלות,null,0.0429,null,1.91,null,127.01,-0.0036,A+,520097,null,null,null,0.000610714,סחיר,"אג""ח קונצרני"
clal,99081,כלל-חסכון בטוחה תיק מנוהל-מדדי,2014,2,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,655270.21,0,0.005271796,מעלות,null,0.0429,null,1.66,null,125.99,0.0036,A+,520097,null,null,null,0.000610714,סחיר,"אג""ח קונצרני"
clal,99081,כלל-חסכון בטוחה תיק מנוהל-מדדי,2014,3,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,654334.04,0,0.005398694,מעלות,null,0.0429,null,1.41,null,125.81,0.0074,A+,520097,null,null,null,0.000610714,סחיר,"אג""ח קונצרני"
clal,99081,כלל-חסכון בטוחה תיק מנוהל-מדדי,2014,4,ניירות ערך סחירים,"אג""ח קונצרני",7480098,IL0074800983,דיסק מנ שה נד 1,דיסקונט,בנקים,NIS,242636.47,0,0.229126587,מעלות,null,6.4,null,4.6,null,145.3,1.15,A,166990,null,null,null,0.013338067,סחיר,"אג""ח קונצרני"
clal,99081,כלל-חסכון בטוחה תיק מנוהל-מדדי,2015,3,ניירות ערך סחירים,"אג""ח קונצרני",7480098,IL0074800983,דיסק מנ שה נד 1,דיסקונט,בנקים,NIS,227073.58,0,0.274234027,מעלות,null,6.4,1/23/1900,4.01,null,139.99,1.3,A,162207,null,null,null,0.012956032,סחיר,"אג""ח קונצרני"
clal,99088,כלל-כללי 1 ***,2015,2,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,15724868.48,0,0.215790714,מעלות,null,4.29,null,1.18,null,123.5,0.17,AA-,12732687.03,null,null,null,2.24266675,סחיר,"אג""ח קונצרני"
clal,99088,כלל-כללי 1 ***,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,6067502.24,0,0.001182331,מעלות,null,0.0429,null,2.97,null,130.63,0.0098,A+,4644800,null,null,null,0.005454069,סחיר,"אג""ח קונצרני"
clal,99088,כלל-כללי 1 ***,2013,1,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,5182762.21,0,0.000979581,מעלות,null,0.0429,null,2.84,null,127.64,0.0053,A+,4060453,null,null,null,0.004767911,סחיר,"אג""ח קונצרני"
clal,99088,כלל-כללי 1 ***,2013,2,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,20453243.34,0,0.003700771,מעלות,null,0.0429,null,2.58,null,128.68,0.0054,A+,15894656,null,null,null,0.018664002,סחיר,"אג""ח קונצרני"
clal,99088,כלל-כללי 1 ***,2013,3,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,22489002.64,0,0.003873272,מעלות,null,0.0429,null,2.33,null,130.35,0.0059,A+,17252783,null,null,null,0.020258757,סחיר,"אג""ח קונצרני"
clal,99088,כלל-כללי 1 ***,2013,4,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,23101023,0,0.003811626,מעלות,null,0.0429,null,2.09,null,131.77,0.0008,A+,17531322,null,null,null,0.020585826,סחיר,"אג""ח קונצרני"
clal,99088,כלל-כללי 1 ***,2014,1,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,24243334.76,0,0.003861447,מעלות,null,0.0429,null,1.91,null,127.01,-0.0036,A+,19087737,null,null,null,0.022413417,סחיר,"אג""ח קונצרני"
clal,99088,כלל-כללי 1 ***,2014,2,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,24062856.56,0,0.003723232,מעלות,null,0.0429,null,1.66,null,125.99,0.0036,A+,19099021,null,null,null,0.022426668,סחיר,"אג""ח קונצרני"
clal,99088,כלל-כללי 1 ***,2014,3,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,24028478.32,0,0.003587312,מעלות,null,0.0429,null,1.41,null,125.81,0.0074,A+,19099021,null,null,null,0.022426668,סחיר,"אג""ח קונצרני"
clal,99088,כלל-כללי 1 ***,2014,4,ניירות ערך סחירים,"אג""ח קונצרני",7480098,IL0074800983,דיסק מנ שה נד 1,דיסקונט,בנקים,NIS,19238834.45,0,0.28011091,מעלות,null,6.4,null,4.6,null,145.3,1.15,A,13240767,null,null,null,1.057585721,סחיר,"אג""ח קונצרני"
clal,99089,כלל-כללי 2***,2015,2,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,1355882.48,0,0.151698688,מעלות,null,4.29,null,1.18,null,123.5,0.17,AA-,1097880.55,null,null,null,0.193374753,סחיר,"אג""ח קונצרני"
clal,99089,כלל-כללי 2***,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,167467.66,0,0.000327604,מעלות,null,0.0429,null,2.97,null,130.63,0.0098,A+,128200,null,null,null,0.000150536,סחיר,"אג""ח קונצרני"
clal,99089,כלל-כללי 2***,2013,1,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,118466.51,0,0.000218061,מעלות,null,0.0429,null,2.84,null,127.64,0.0053,A+,92813,null,null,null,0.000108984,סחיר,"אג""ח קונצרני"
clal,99089,כלל-כללי 2***,2013,2,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,1684951.36,0,0.002961126,מעלות,null,0.0429,null,2.58,null,128.68,0.0054,A+,1309412,null,null,null,0.001537553,סחיר,"אג""ח קונצרני"
clal,99089,כלל-כללי 2***,2013,3,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,1890645.93,0,0.003111768,מעלות,null,0.0429,null,2.33,null,130.35,0.0059,A+,1450438,null,null,null,0.00170315,סחיר,"אג""ח קונצרני"
clal,99089,כלל-כללי 2***,2013,4,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,1949960.13,0,0.003019719,מעלות,null,0.0429,null,2.09,null,131.77,0.0008,A+,1479821,null,null,null,0.001737652,סחיר,"אג""ח קונצרני"
clal,99089,כלל-כללי 2***,2014,1,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,2090093.07,0,0.003102825,מעלות,null,0.0429,null,1.91,null,127.01,-0.0036,A+,1645613,null,null,null,0.00193233,סחיר,"אג""ח קונצרני"
